docking_state,distance,energy
1093,2.727079,-7.15283
1460,3.496706,-1.43822
270,3.708122,-13.8701
557,4.133272,-9.08746
1292,4.313849,-8.70159
1510,4.351415,-1.37709
1111,4.426678,-8.91593
1420,4.450021,-2.88133
1525,4.512532,0.383832
1301,4.641831,-6.84104
18,4.654686,-22.6253
1551,4.771755,2.15026
942,4.773904,-11.6684
717,4.810838,-12.9374
103,4.829894,-20.7049
704,4.84624,-11.9963
185,4.848445,-18.4732
266,5.032849,-15.3075
1221,5.056495,-12.1198
1430,5.057977,-6.09927
1415,5.202571,-5.44237
1511,5.218194,-3.99558
1022,5.221135,-9.11526
49,5.223575,-19.1369
332,5.230337,-14.5038
1285,5.281919,-9.97281
744,5.354077,-10.4786
943,5.380864,-8.63435
647,5.478157,-10.091
894,5.490269,-9.70219
1201,5.542152,-7.58439
499,5.553162,-8.63648
104,5.575678,-8.85345
730,5.577753,-9.75398
855,5.587676,-13.4319
90,5.599908,-16.3753
107,5.609947,-19.2036
1202,5.656951,-5.02835
291,5.663522,-12.7587
676,5.670762,-10.501
1518,5.700317,0.738763
1539,5.710157,-1.15286
1386,5.735167,-3.70714
682,5.783568,-13.3012
1188,5.812888,-9.80307
380,5.814957,-15.7154
358,5.843966,-10.9528
129,5.849675,-16.1603
1442,5.887352,-6.76807
903,5.901855,-12.0838
1229,5.909924,-4.53418
577,5.942284,-12.8355
979,5.94841,-10.8338
246,5.955812,-8.3701
838,5.957776,-7.74271
751,5.996458,-10.0116
1356,6.000844,-10.1651
757,6.002246,-10.2323
824,6.008885,-8.47856
572,6.01249,-12.7156
797,6.07683,-11.27
517,6.12032,-14.0453
1530,6.123738,1.20505
1274,6.144337,-6.93227
789,6.18958,-7.86697
854,6.203751,-7.8707
113,6.215391,-10.1541
871,6.222505,-12.6249
26,6.222813,-20.238
502,6.231291,-10.0279
564,6.255106,-13.8942
71,6.274686,-17.1553
1489,6.284025,-7.15958
727,6.300998,-8.05187
1334,6.303404,-6.13516
1251,6.325944,-7.46364
1152,6.335076,-8.20807
1182,6.338524,-5.60127
156,6.342706,-17.2301
393,6.347363,-16.0606
1203,6.348402,-5.36093
1171,6.350434,-8.12656
353,6.364638,-16.4636
1520,6.368912,-2.20287
561,6.372605,-11.5265
1313,6.376025,-8.92165
836,6.37869,-11.3242
660,6.38608,-13.8923
1447,6.410691,-4.03587
180,6.420341,-14.9695
1118,6.447763,-4.89326
1413,6.447965,-1.24543
157,6.453549,-12.3241
1344,6.461503,-9.21443
325,6.471603,-13.0252
1321,6.475245,-4.40658
37,6.475654,-18.0745
691,6.481431,-9.4248
138,6.508773,-18.8856
68,6.518501,-16.5977
45,6.521683,-17.7587
1515,6.527661,-4.97185
1505,6.532799,-3.64544
1538,6.574634,-1.32626
1502,6.588387,-2.83353
82,6.592379,-18.0213
1438,6.593116,-6.39216
1194,6.620223,-6.77189
775,6.633447,-14.893
179,6.640913,-11.5665
193,6.659865,-18.8745
793,6.660357,-8.77181
589,6.688657,-10.3904
299,6.69224,-18.0575
263,6.695698,-13.8504
269,6.702765,-14.3468
591,6.724397,-10.9955
188,6.753661,-14.0691
1175,6.765677,-6.28116
878,6.780369,-5.66261
798,6.809006,-11.027
170,6.826431,-16.1985
172,6.861648,-11.4766
1030,6.899504,-12.6014
