docking_state,distance,energy
163,37.430595,-2.33932
189,37.449051,-1.87035
101,37.716,-5.92993
212,37.838936,1.57642
47,37.95155,-5.78946
97,38.164711,-2.47706
275,38.176697,7.86655
8,38.196068,-10.2756
228,38.365246,2.99642
72,38.370502,-5.94449
4,38.372189,-14.227
22,38.451141,-5.89183
246,38.484249,1.66531
64,38.626347,-5.75699
250,38.627045,-2.49166
137,38.789059,-2.92026
13,38.83033,-7.3836
80,38.872948,-6.21279
26,38.92963,-8.67006
48,39.001377,-7.65759
280,39.259296,10.7201
61,39.510372,-7.09105
210,39.686203,1.09107
84,39.784397,-7.05356
111,39.967663,-2.68406
92,40.101334,-5.06623
27,40.307114,-9.24893
9,40.355026,-12.1272
143,40.594475,-2.46667
132,40.648022,-4.77695
6,40.776398,-12.6651
267,40.7813,5.80842
104,41.216873,-6.02085
249,41.342892,-0.842193
179,41.448402,0.680538
35,42.91713,-9.52374
135,43.697296,-4.34137
