docking_state,distance,energy
2538,2.417529,10.3077
2793,2.512621,-26.7936
1380,2.517746,-24.5766
3009,2.527137,-24.8751
2863,2.53799,-18.9613
2917,2.543531,-22.8028
1465,2.546432,-29.4833
425,2.556298,-21.8993
2925,2.571665,-27.0786
1935,2.592145,-28.8423
2385,2.592484,-35.142
1149,2.595704,-8.60949
2871,2.613757,-37.1069
1905,2.618965,-34.4245
2922,2.639485,-12.2243
283,2.645214,-41.4003
93,2.645308,-67.9937
0,2.655221,-77.5362
1613,2.655468,-22.8599
381,2.656406,-42.6487
3216,2.664097,-6.9943
633,2.674911,-42.1538
463,2.694381,-36.0065
523,2.694483,-40.9868
405,2.695453,-41.4792
2208,2.712766,-16.2705
1144,2.723136,-34.126
2092,2.752576,-27.2484
77,2.764177,-71.2336
1770,2.879102,-23.3626
2174,2.90616,-36.1165
2274,3.113185,-38.9644
951,3.176386,-47.5541
450,3.221242,-47.6065
2309,3.25115,-17.5047
219,3.310934,-33.1887
634,3.344976,-55.8452
2983,3.346067,-31.4291
1567,3.347231,-34.2403
1624,3.350057,-48.1043
16,3.358227,-67.9841
1174,3.359823,-22.2243
2138,3.384538,-33.5936
42,3.387065,-41.4623
2868,3.39861,-7.6176
2617,3.402052,-11.6943
806,3.40215,-49.1504
242,3.422143,-49.8272
2653,3.430432,-19.6745
564,3.444152,-49.5272
771,3.447379,-37.0154
1054,3.451216,-32.9882
1618,3.480734,-18.244
115,3.480954,-58.7321
1517,3.481176,-20.1338
512,3.498049,-36.2727
2479,3.515363,-22.8438
2817,3.533979,-34.8654
2278,3.5431,-14.8972
432,3.572004,-52.9618
784,3.574652,-38.1761
261,3.575582,-27.3616
2515,3.578069,-19.0397
1967,3.585242,-23.1532
250,3.605615,-41.0094
749,3.616939,-64.3835
846,3.6181,-36.4348
458,3.622485,-38.3881
2688,3.634095,-28.5348
1048,3.636622,-30.5431
2671,3.658425,-7.50701
2201,3.660643,-32.613
268,3.66429,-50.3767
1531,3.665464,-37.4517
678,3.669705,-25.6565
145,3.686932,-65.015
861,3.705646,-34.4276
783,3.723292,-45.025
1642,3.731611,-43.7839
1203,3.773467,-21.5133
1533,3.775746,-19.1721
1136,3.778033,-29.7401
2659,3.799088,-27.1284
